	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	统招本科	5年以上	8-15k·12薪	2020年04月10日	开发经理/高级开发经理（广东、广西、福建）	广州-珠江新城	特变电工新能源	https://www.liepin.com/job/1925841611.shtml	https://www.liepin.com/company/7953390/
1	统招本科	5年以上	面议	2020年04月10日	Senior Accountant	上海-静安区	卡索多丽娅贸易(上海)有限公司	https://www.liepin.com/job/1925837499.shtml	https://www.liepin.com/company/9094662/
2	大专及以上	3年以上	10-18k·13薪	2020年04月10日	系统应用工程师（ERP方向）	长沙	盐津铺子	https://www.liepin.com/job/1925824933.shtml	https://www.liepin.com/company/9805835/
3	统招本科	8年以上	20-26k·15薪	2020年04月10日	审计与合规部经理	杭州-江干区	杭实国贸投资(杭州)有限公司	https://www.liepin.com/job/1925805247.shtml	https://www.liepin.com/company/9864437/
4	本科及以上	5年以上	18-25k·12薪	2020年04月10日	贵宾团队经理		宜信公司	https://www.liepin.com/job/1925789229.shtml	https://www.liepin.com/company/891743/
5	大专及以上	3年以上	面议	2020年04月10日	品质总监	郑州-中原区	鲜美来食品股份有限公司	https://www.liepin.com/job/1925718871.shtml	https://www.liepin.com/company/9276098/
6	本科及以上	1年以上	8-12k·12薪	2020年04月10日	室内设计师	杭州-下城区	杭州欧塬建筑设计有限公司	https://www.liepin.com/job/1925696117.shtml	https://www.liepin.com/company/9631724/
7	硕士及以上	3年以上	15-30k·12薪	2020年04月10日	研究员		深圳市世联土地房地产评估有限公司	https://www.liepin.com/job/1925663205.shtml	https://www.liepin.com/company/849842/
8	本科及以上	7年以上	面议	2020年04月10日	(Sr.) Sales Account Manager	上海-浦东新区	MATLAB	https://www.liepin.com/job/1925634897.shtml	https://www.liepin.com/company/8185522/
9	大专及以上	3年以上	面议	2020年04月10日	UI/UX设计师	上海	上海藤萝建筑咨询有限公司	https://www.liepin.com/job/1925616223.shtml	https://www.liepin.com/company/10250029/
10	本科及以上	5年以上	20-30k·15薪	2020年04月10日	前端开发工程师	上海-浦东新区	你我贷	https://www.liepin.com/job/1925603291.shtml	https://www.liepin.com/company/8639190/
11	本科及以上	3年以上	20-26k·15薪	2020年04月10日	社群营销专家	上海-浦东新区	你我贷	https://www.liepin.com/job/1925510009.shtml	https://www.liepin.com/company/8639190/
12	本科及以上	3年以上	12-20k·12薪	2020年04月10日	策划经理	资阳	浙江绿城佳园建设工程管理有限公司	https://www.liepin.com/job/1925483495.shtml	https://www.liepin.com/company/8977495/
13	本科及以上	3年以上	面议	2020年04月10日	电堆产品工程师	上海-华漕	重塑能源	https://www.liepin.com/job/1925428475.shtml	https://www.liepin.com/company/8864326/
14	统招本科	5年以上	8-20k·12薪	2020年04月10日	弱电技术	昆明-西山区	云南云天化信息科技有限公司	https://www.liepin.com/job/1925381951.shtml	https://www.liepin.com/company/9540445/
15	统招本科	10年以上	20-25k·12薪	2020年04月10日	自动化部经理	上海-嘉定区	英汇科技	https://www.liepin.com/job/1925345339.shtml	https://www.liepin.com/company/1519053/
16	本科及以上	2年以上	12-25k·13薪	2020年04月10日	固化填埋技术经理	宜昌	宜昌七朵云环境治理有限公司	https://www.liepin.com/job/1925126165.shtml	https://www.liepin.com/company/10269059/
17	大专及以上	3年以上	7-10k·12薪	2020年04月10日	项目商务外联（驻地）	郑州-中原区	河南鼎岳建筑工程有限公司	https://www.liepin.com/job/1925095219.shtml	https://www.liepin.com/company/9773217/
18	统招本科	3年以上	30-50k·12薪	2020年04月10日	风控政策岗		哈尔滨哈银消费金融有限责任公司	https://www.liepin.com/job/1925052885.shtml	https://www.liepin.com/company/8960574/
19	统招本科	3年以上	30-50k·12薪	2020年04月10日	风险模型分析师		哈尔滨哈银消费金融有限责任公司	https://www.liepin.com/job/1925026905.shtml	https://www.liepin.com/company/8960574/
20	大专及以上	5年以上	6-8k·12薪	2020年04月10日	移民投资顾问	长春	宜信公司	https://www.liepin.com/job/1924973529.shtml	https://www.liepin.com/company/891743/
21	大专及以上	1年以上	4-6k·12薪	2020年04月10日	出纳	茂名	东华能源	https://www.liepin.com/job/1924972857.shtml	https://www.liepin.com/company/2467219/
22	本科及以上	8年以上	50-60k·12薪	2020年04月10日	国际供应链物流总监	福州-仓山区	达曼国际咨询(上海)有限公司	https://www.liepin.com/job/1924877205.shtml	https://www.liepin.com/company/9384475/
