	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	统招本科	5年以上	10-20k·12薪	2020年04月10日	高级营销经理（广东/广西/福建）	广州-珠江新城	特变电工新能源	https://www.liepin.com/job/1926687921.shtml	https://www.liepin.com/company/7953390/
1	统招本科	5年以上	10-20k·12薪	2020年04月10日	高级营销经理（湖北/湖南/天津/河北）	武汉-硚口区	特变电工新能源	https://www.liepin.com/job/1926687871.shtml	https://www.liepin.com/company/7953390/
2	统招本科	5年以上	面议	2020年04月10日	区域营销副总经理	成都-武侯区	特变电工新能源	https://www.liepin.com/job/1926686813.shtml	https://www.liepin.com/company/7953390/
3	本科及以上	5年以上	15-20k·12薪	2020年04月10日	私行副行长（零售端团队经理）		宜信公司	https://www.liepin.com/job/1926684501.shtml	https://www.liepin.com/company/891743/
4	统招本科	2年以上	9-13k·13薪	2020年04月10日	证券事务主管	广州	天地壹号	https://www.liepin.com/job/1926665983.shtml	https://www.liepin.com/company/6851696/
5	统招本科	经验不限	7-10k·12薪	2020年04月10日	业务内勤（杭实能源）	杭州-江干区	杭实国贸投资(杭州)有限公司	https://www.liepin.com/job/1926662273.shtml	https://www.liepin.com/company/9864437/
6	本科及以上	经验不限	4-5k·12薪	2020年04月10日	行政前台	广州-珠江新城	中国光大银行股份有限公司广州分行	https://www.liepin.com/job/1926655393.shtml	https://www.liepin.com/company/8521820/
7	统招本科	1年以上	6-10k·15薪	2020年04月10日	生产计划/物料管理PMC	广州-花都区	广州东风安道拓座椅有限公司	https://www.liepin.com/job/1926613521.shtml	https://www.liepin.com/company/1727807/
8	本科及以上	5年以上	12-18k·14薪	2020年04月10日	绩效薪酬经理（总部）	成都	通威股份	https://www.liepin.com/job/1926610481.shtml	https://www.liepin.com/company/682357/
9	本科及以上	经验不限	10-20k·12薪	2020年04月10日	FPGA开发工程师	广州	海格通信广州公司	https://www.liepin.com/job/1926588443.shtml	https://www.liepin.com/company/8840878/
10	大专及以上	3年以上	面议	2020年04月10日	绿化工程师	合肥	安徽斌锋控股集团有限公司	https://www.liepin.com/job/1926571603.shtml	https://www.liepin.com/company/9087160/
11	本科及以上	3年以上	8-15k·12薪	2020年04月10日	公关外联经理	宜昌	宜昌七朵云环境治理有限公司	https://www.liepin.com/job/1926561605.shtml	https://www.liepin.com/company/10269059/
12	本科及以上	3年以上	10-20k·12薪	2020年04月10日	财务经理	宜昌	宜昌七朵云环境治理有限公司	https://www.liepin.com/job/1926561249.shtml	https://www.liepin.com/company/10269059/
13	统招本科	3年以上	面议	2020年04月10日	嵌入式硬件开发工程师	珠海-香洲区	珠海普林芯驰科技有限公司	https://www.liepin.com/job/1926520959.shtml	https://www.liepin.com/company/9626894/
