	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	5年以上	6-12k·12薪	2020年04月10日	品质专家（冰箱压缩机行业）	黄石	黄石东贝机电集团有限责任公司	https://www.liepin.com/job/1927006033.shtml	https://www.liepin.com/company/8030794/
1	统招本科	5年以上	20-35k·15薪	2020年04月10日	资深java开发工程师（toC预订）		北京美住必成科技有限公司	https://www.liepin.com/job/1926996761.shtml	https://www.liepin.com/company/9863737/
2	学历不限	经验不限	7-15k·12薪	2020年04月10日	直播运营（快手）	广州	衣酷集团	https://www.liepin.com/job/1926992523.shtml	https://www.liepin.com/company/7905352/
3	大专及以上	5年以上	8-10k·12薪	2020年04月10日	工艺工程师	深圳	深圳市利和腾鑫科技有限公司	https://www.liepin.com/job/1926991851.shtml	https://www.liepin.com/company/10042291/
4	大专及以上	经验不限	11-15k·12薪	2020年04月10日	新媒体推广经理	佛山	五仁餐饮	https://www.liepin.com/job/1926988031.shtml	https://www.liepin.com/company/5382468/
5	统招本科	2年以上	5-8k·15薪	2020年04月10日	理算岗	广州	京东安联财产保险有限公司	https://www.liepin.com/job/1926986197.shtml	https://www.liepin.com/company/1615425/
6	统招本科	3年以上	面议	2020年04月10日	造价工程师	北京	北京首创环境科技有限公司	https://www.liepin.com/job/1926982293.shtml	https://www.liepin.com/company/12176483/
7	本科及以上	1年以上	5-6k·13薪	2020年04月10日	行政人事专员	连云港	创挚管理咨询(上海)有限公司	https://www.liepin.com/job/1926979129.shtml	https://www.liepin.com/company/10041091/
8	本科及以上	3年以上	5-8k·12薪	2020年04月10日	报建工程师	宜昌	宜昌七朵云环境治理有限公司	https://www.liepin.com/job/1926973643.shtml	https://www.liepin.com/company/10269059/
9	本科及以上	5年以上	15-22k·12薪	2020年04月10日	高级财务经理(J11681)	江门	领益智造	https://www.liepin.com/job/1926942837.shtml	https://www.liepin.com/company/9928281/
10	统招本科	3年以上	15-25k·12薪	2020年04月10日	报批报建岗	宁波	慈溪众安房地产开发有限公司	https://www.liepin.com/job/1926937653.shtml	https://www.liepin.com/company/8059167/
11	本科及以上	2年以上	8-15k·13薪	2020年04月10日	销售经理（NB/4G）	南京	广东九联科技股份有限公司	https://www.liepin.com/job/1926930033.shtml	https://www.liepin.com/company/7903097/
12	大专及以上	1年以上	4-8k·12薪	2020年04月10日	销售助理	广州	广州杏雨信息科技有限公司	https://www.liepin.com/job/1926929669.shtml	https://www.liepin.com/company/8952710/
13	本科及以上	5年以上	20-40k·12薪	2020年04月10日	业务部总经理	上海	延华智能	https://www.liepin.com/job/1926920019.shtml	https://www.liepin.com/company/4462645/
14	本科及以上	8年以上	8-11k·12薪	2020年04月10日	电气工程师	嘉兴-平湖	友邦电气(平湖)股份有限公司	https://www.liepin.com/job/1926913951.shtml	https://www.liepin.com/company/9418862/
15	本科及以上	5年以上	20-30k·12薪	2020年04月10日	审计经理（工程）	北京	万新控股集团	https://www.liepin.com/job/1926886031.shtml	https://www.liepin.com/company/8170645/
16	统招本科	5年以上	20-30k·13薪	2020年04月10日	IT信息技术部负责人	深圳	横琴淳臻投资管理中心(有限合伙)	https://www.liepin.com/job/1926884249.shtml	https://www.liepin.com/company/9776891/
17	本科及以上	3年以上	15-25k·12薪	2020年04月10日	4G/5G无线性能系统工程师	上海-徐汇区	上海大唐移动通信设备有限公司	https://www.liepin.com/job/1926874883.shtml	https://www.liepin.com/company/8694731/
18	大专及以上	1年以上	4-6k·12薪	2020年04月10日	仓储物流储备员	天津-武清区	绝味食品	https://www.liepin.com/job/1926873919.shtml	https://www.liepin.com/company/9216518/
19	统招本科	1年以上	8-11k·13薪	2020年04月10日	Business Analyst	苏州	哈斯曼制冷科技(苏州)有限公司	https://www.liepin.com/job/1926868727.shtml	https://www.liepin.com/company/9491324/
20	大专及以上	2年以上	6-8k·12薪	2020年04月10日	选址开发	常州-金坛区	江苏五香居食品有限公司	https://www.liepin.com/job/1926849267.shtml	https://www.liepin.com/company/8501262/
21	统招本科	3年以上	面议	2020年04月10日	业务经理	福州	宁波金融资产管理股份有限公司	https://www.liepin.com/job/1926840845.shtml	https://www.liepin.com/company/12181509/
22	本科及以上	8年以上	25-35k·12薪	2020年04月10日	销售总监（储备）	廊坊	北京绿宸控股集团有限公司	https://www.liepin.com/job/1926837073.shtml	https://www.liepin.com/company/8017931/
23	本科及以上	3年以上	面议	2020年04月10日	电网工程三维设计研发专职	杭州	浙江华云电力工程设计咨询有限公司	https://www.liepin.com/job/1926834341.shtml	https://www.liepin.com/company/12165077/
24	本科及以上	5年以上	18-22k·12薪	2020年04月10日	行政总监	上海	上海金都投资集团有限公司	https://www.liepin.com/job/1926828915.shtml	https://www.liepin.com/company/8077948/
25	统招本科	3年以上	6-10k·13薪	2020年04月10日	培训专员/主管	广州	佳都新太科技	https://www.liepin.com/job/1926828301.shtml	https://www.liepin.com/company/2115085/
26	大专及以上	3年以上	8-10k·14薪	2020年04月10日	校园招聘渠道主管	成都-武侯区	京东商城	https://www.liepin.com/job/1926813757.shtml	https://www.liepin.com/company/8629172/
27	统招本科	2年以上	10-18k·14薪	2020年04月10日	用户运营	广州	车行易	https://www.liepin.com/job/1926812715.shtml	https://www.liepin.com/company/8379198/
28	学历不限	3年以上	10-20k·12薪	2020年04月10日	新零售销售总监（高提成）	广州-天河北	广州傲之美化妆品有限公司	https://www.liepin.com/job/1926801869.shtml	https://www.liepin.com/company/8132239/
29	统招本科	2年以上	面议	2020年04月10日	系统开发岗（总行研发中心）	广州-天河区	中国光大银行股份有限公司广州分行	https://www.liepin.com/job/1926795521.shtml	https://www.liepin.com/company/8521820/
30	统招本科	3年以上	面议	2020年04月10日	技术经理岗（总行研发中心）	广州-天河区	中国光大银行股份有限公司广州分行	https://www.liepin.com/job/1926795081.shtml	https://www.liepin.com/company/8521820/
31	统招本科	5年以上	面议	2020年04月10日	营销管理部机构督导中心主管/专员		渤海人寿	https://www.liepin.com/job/1926788985.shtml	https://www.liepin.com/company/8641359/
32	统招本科	1年以上	7-10k·15薪	2020年04月10日	人事行政中心干部管理岗	深圳	富德保险控股股份有限公司	https://www.liepin.com/job/1926786183.shtml	https://www.liepin.com/company/9261032/
33	统招本科	3年以上	23-30k·12薪	2020年04月10日	商业地产投资经理	北京	远洋商业管理有限公司北京朝阳分公司	https://www.liepin.com/job/1926771515.shtml	https://www.liepin.com/company/7890522/
34	统招本科	4年以上	面议	2020年04月10日	NVH CAE 工程师	广州	英知创机械科技(上海)有限公司广州分公司	https://www.liepin.com/job/1926765007.shtml	https://www.liepin.com/company/9885447/
35	本科及以上	3年以上	9-16k·13薪	2020年04月10日	嵌入式电源（高级）研发工程师	深圳-宝安区	深圳雅达电源	https://www.liepin.com/job/1926754259.shtml	https://www.liepin.com/company/8046710/
36	大专及以上	2年以上	6-8k·13薪	2020年04月10日	Assistant Officer, Finance	深圳-宝安区	深圳雅达电源	https://www.liepin.com/job/1926733591.shtml	https://www.liepin.com/company/8046710/
37	本科及以上	3年以上	15-20k·12薪	2020年04月10日	电机驱动工程师	深圳	深圳市创荣发电子有限公司	https://www.liepin.com/job/1926720069.shtml	https://www.liepin.com/company/8224555/
38	本科及以上	1年以上	7-10k·12薪	2020年04月10日	物流内勤	杭州-江干区	杭实国贸投资(杭州)有限公司	https://www.liepin.com/job/1926714941.shtml	https://www.liepin.com/company/9864437/
39	本科及以上	5年以上	面议	2020年04月10日	Production Supervisor 生产主管	苏州	罗杰斯科技(苏州)有限公司	https://www.liepin.com/job/1926703947.shtml	https://www.liepin.com/company/7875305/
